name,year_start,year_end,position,height,weight
Brian Roberts,2013.0,2017.0,G,06-01,173.0
Fred Roberts,1984.0,1997.0,F-C,06-10,218.0
Joe Roberts,1961.0,1968.0,F,06-06,214.0
Lawrence Roberts,2006.0,2007.0,F,06-09,240.0
Marv Roberts,1972.0,1977.0,F-C,06-08,200.0
Stanley Roberts,1992.0,2000.0,C,7-0,285.0
Alvin Robertson,1985.0,1996.0,G,06-03,185.0
Oscar Robertson,1961.0,1974.0,G-F,06-05,205.0
Ryan Robertson,2000.0,2000.0,G,06-05,190.0
Tony Robertson,1978.0,1979.0,G,06-04,195.0
Rick Robey,1979.0,1986.0,C-F,06-11,230.0
Bernard Robinson,2005.0,2007.0,G-F,06-06,210.0
Chris Robinson,1997.0,1998.0,G,06-05,200.0
Cliff Robinson,1980.0,1992.0,F,06-09,220.0
Clifford Robinson,1990.0,2007.0,F-C,06-10,225.0
David Robinson,1990.0,2003.0,C,07-01,235.0
Eddie Robinson,2000.0,2004.0,G-F,06-08,210.0
Flynn Robinson,1967.0,1974.0,G,06-01,185.0
Glenn Robinson,1995.0,2005.0,F,06-07,225.0
Jackie Robinson,1979.0,1982.0,F,06-06,210.0
Jamal Robinson,2001.0,2001.0,F,06-07,212.0
James Robinson,1994.0,2001.0,G,06-02,180.0
Larry Robinson,1991.0,2002.0,F-G,06-03,180.0
Nate Robinson,2006.0,2016.0,G,05-09,180.0
Oliver Robinson,1983.0,1983.0,G,06-04,180.0
Ronnie Robinson,1974.0,1975.0,F,06-08,200.0
Rumeal Robinson,1991.0,1997.0,G,06-02,195.0
Samuel Robinson,1971.0,1972.0,F,06-07,190.0
Thomas Robinson,2013.0,2017.0,F,06-10,237.0
Truck Robinson,1975.0,1985.0,F-C,06-07,225.0
Wayne Robinson,1981.0,1981.0,F,06-08,217.0
Wilbert Robinson,1974.0,1974.0,G,06-02,175.0
Bill Robinzine,1976.0,1982.0,F,06-07,230.0
Dave Robisch,1972.0,1984.0,C-F,06-10,235.0
Red Rocha,1948.0,1957.0,C-F,06-09,185.0
John Roche,1972.0,1982.0,G,06-03,170.0
Gene Rock,1948.0,1948.0,G,05-09,155.0
Jack Rocker,1948.0,1948.0,C-F,06-05,185.0
Guy Rodgers,1959.0,1970.0,G,6-0,185.0
Dennis Rodman,1987.0,2000.0,F,06-07,210.0
Sergio Rodriguez,2007.0,2017.0,G,06-03,176.0
Lou Roe,1996.0,1997.0,F,06-07,220.0
Carlos Rogers,1995.0,2002.0,C-F,06-11,220.0
Harry Rogers,1976.0,1976.0,F,06-07,195.0
Johnny Rogers,1987.0,1988.0,F-C,06-10,225.0
Marshall Rogers,1977.0,1977.0,G,06-01,190.0
Rodney Rogers,1994.0,2005.0,F,06-07,235.0
Roy Rogers,1997.0,2000.0,F,06-10,235.0
Willie Rogers,1969.0,1969.0,G-F,06-03,185.0
Al Roges,1954.0,1955.0,G-F,06-04,195.0
Ken Rohloff,1964.0,1964.0,G,6-0,195.0
Kenny Rollins,1949.0,1953.0,G,6-0,168.0
Phil Rollins,1959.0,1961.0,G,06-02,185.0
Tree Rollins,1978.0,1995.0,C,07-01,235.0
Lorenzo Romar,1981.0,1985.0,G,06-01,175.0
Rajon Rondo,2007.0,2018.0,G,06-01,186.0
Jerry Rook,1970.0,1970.0,F,06-05,219.0
Sean Rooks,1993.0,2004.0,C,06-10,250.0
Derrick Rose,2009.0,2018.0,G,06-03,190.0
Jalen Rose,1995.0,2007.0,G-F,06-08,210.0
Malik Rose,1997.0,2009.0,F,06-07,250.0
Rob Rose,1989.0,1989.0,G,06-05,180.0
Petey Rosenberg,1947.0,1947.0,G,05-10,165.0
Lennie Rosenbluth,1958.0,1959.0,F,06-04,190.0
Hank Rosenstein,1947.0,1947.0,F,06-04,185.0
Dick Rosenthal,1955.0,1957.0,F-G,06-05,205.0
Quinton Ross,2005.0,2011.0,G,06-06,195.0
Terrence Ross,2013.0,2018.0,F-G,06-07,206.0
Doug Roth,1990.0,1990.0,C,06-11,255.0
Scott Roth,1988.0,1990.0,F,06-08,212.0
Irv Rothenberg,1947.0,1949.0,C,06-07,215.0
Mickey Rottner,1947.0,1948.0,G,05-10,180.0
Dan Roundfield,1976.0,1987.0,F-C,06-08,205.0
Giff Roux,1947.0,1949.0,F-C,06-05,195.0
Ron Rowan,1987.0,1987.0,G,06-05,200.0
Curtis Rowe,1972.0,1979.0,F,06-07,225.0
Jim Rowinski,1989.0,1990.0,F-C,06-08,250.0
Derrick Rowland,1986.0,1986.0,G,06-05,195.0
Brian Rowsom,1988.0,1990.0,F,06-09,220.0
Brandon Roy,2007.0,2013.0,G,06-06,215.0
Donald Royal,1990.0,1998.0,F,06-08,210.0
Reggie Royals,1975.0,1975.0,C,06-10,200.0
Bob Royer,1950.0,1950.0,G,05-10,155.0
Clifford Rozier,1995.0,1998.0,C-F,06-11,245.0
Terry Rozier,2016.0,2018.0,G,06-02,190.0
Ricky Rubio,2012.0,2018.0,G,06-04,194.0
Guy Rucker,2003.0,2003.0,F-C,06-11,265.0
Delaney Rudd,1990.0,1993.0,G,06-02,180.0
John Rudd,1979.0,1979.0,F,06-07,230.0
Damjan Rudez,2015.0,2017.0,F,06-10,228.0
John Rudometkin,1963.0,1965.0,F,06-06,205.0
Michael Ruffin,2000.0,2009.0,F,06-09,246.0
Trevor Ruffin,1995.0,1996.0,G,06-01,185.0
Paul Ruffner,1971.0,1976.0,C-F,06-10,225.0
Joe Ruklick,1960.0,1962.0,F-C,06-09,220.0
Jeff Ruland,1982.0,1993.0,C-F,06-10,240.0
Bob Rule,1968.0,1975.0,C-F,06-09,220.0
Jerry Rullo,1947.0,1950.0,G,05-10,165.0
Stefano Rusconi,1996.0,1996.0,C-F,06-09,240.0
Brandon Rush,2009.0,2017.0,G-F,06-06,220.0
Kareem Rush,2003.0,2010.0,G,06-06,215.0
Bill Russell,1957.0,1969.0,C,06-10,215.0
Bryon Russell,1994.0,2006.0,F,06-07,225.0
Campy Russell,1975.0,1985.0,F,06-08,215.0
Cazzie Russell,1967.0,1978.0,F-G,06-05,218.0
D'Angelo Russell,2016.0,2018.0,G,06-05,195.0
Frank Russell,1973.0,1973.0,G,06-03,180.0
Pierre Russell,1972.0,1973.0,F-G,06-04,190.0
Rubin Russell,1968.0,1968.0,G,06-02,180.0
Walker Russell,1983.0,1988.0,G,06-05,195.0
Arvydas Sabonis,1996.0,2003.0,C,07-03,279.0
Domantas Sabonis,2017.0,2018.0,F-C,06-11,240.0
Robert Sacre,2013.0,2016.0,C,7-0,270.0
Ed Sadowski,1947.0,1950.0,C,06-05,240.0
Kenny Sailors,1947.0,1951.0,G,05-10,175.0
John Salley,1987.0,2000.0,F-C,06-11,230.0
John Salmons,2003.0,2015.0,G,06-07,210.0
Al Salvadori,1968.0,1968.0,F,06-09,220.0
Kevin Salvadori,1997.0,1998.0,C,7-0,231.0
Soumaila Samake,2001.0,2003.0,C,7-0,230.0
Cheikh Samb,2008.0,2009.0,C,07-01,245.0
JaKarr Sampson,2015.0,2018.0,G-F,06-09,214.0
Jamal Sampson,2003.0,2007.0,F-C,06-11,235.0
Ralph Sampson,1984.0,1992.0,C-F,07-04,228.0
Samardo Samuels,2011.0,2013.0,F,06-09,260.0
Pepe Sanchez,2001.0,2003.0,G,06-04,195.0
Al Sanders,1973.0,1973.0,F,06-07,240.0
Frankie Sanders,1979.0,1981.0,F-G,06-06,200.0
Jeff Sanders,1990.0,1993.0,F,06-08,225.0
Larry Sanders,2011.0,2017.0,C-F,06-11,235.0
Melvin Sanders,2006.0,2006.0,G-F,06-05,210.0
Mike Sanders,1983.0,1993.0,F-G,06-06,210.0
Tom Sanders,1961.0,1973.0,F,06-06,210.0
Ron Sanford,1972.0,1972.0,F,06-09,215.0
Daniel Santiago,2001.0,2005.0,C,07-01,256.0
Bob Santini,1956.0,1956.0,F,06-05,190.0
Wayne Sappleton,1985.0,1985.0,F,06-09,215.0
Dario Saric,2017.0,2018.0,F,06-10,223.0
Jason Sasser,1997.0,1999.0,F,06-07,225.0
Jeryl Sasser,2002.0,2003.0,G,06-06,200.0
Tomas Satoransky,2017.0,2018.0,G,06-07,210.0
Kenny Satterfield,2002.0,2003.0,G,06-02,186.0
Pep Saul,1950.0,1955.0,G-F,06-02,185.0
Woody Sauldsberry,1958.0,1966.0,F-C,06-07,220.0
Glynn Saulters,1969.0,1969.0,G,06-02,175.0
Fred Saunders,1975.0,1978.0,F,06-07,210.0
Don Savage,1952.0,1957.0,F-G,06-03,205.0
Predrag Savovic,2003.0,2003.0,G,06-06,225.0
Alan Sawyer,1951.0,1951.0,F,06-05,195.0
Brian Scalabrine,2002.0,2012.0,F,06-09,241.0
Alex Scales,2006.0,2006.0,G,06-04,185.0
DeWayne Scales,1981.0,1984.0,F,06-08,208.0
Frank Schade,1973.0,1973.0,G,06-01,170.0
Ben Schadler,1948.0,1948.0,F,6-0,185.0
Herm Schaefer,1949.0,1950.0,G-F,6-0,175.0
Billy Schaeffer,1974.0,1976.0,F,06-05,200.0
Bob Schafer,1956.0,1957.0,G,06-03,195.0
Ben Scharnus,1947.0,1949.0,F,06-02,173.0
Marv Schatzman,1950.0,1950.0,F,06-05,200.0
Fred Schaus,1950.0,1954.0,F,06-05,205.0
Danny Schayes,1982.0,1999.0,C-F,06-11,235.0
Dolph Schayes,1950.0,1964.0,F-C,06-08,220.0
Ossie Schectman,1947.0,1947.0,G,6-0,175.0
Steve Scheffler,1991.0,1997.0,C-F,06-09,250.0
Tom Scheffler,1985.0,1985.0,C,06-11,240.0
Dave Schellhase,1967.0,1968.0,G,06-03,205.0
Luke Schenscher,2006.0,2007.0,C,07-01,255.0
Herb Scherer,1951.0,1952.0,C,06-09,212.0
Dwayne Schintzius,1991.0,1999.0,C,07-01,260.0
Dale Schlueter,1969.0,1978.0,C,06-10,225.0
Otto Schnellbacher,1949.0,1949.0,F-G,06-04,185.0
Dick Schnittker,1951.0,1958.0,F,06-05,200.0
Russ Schoene,1983.0,1989.0,F-C,06-10,210.0
Dave Scholz,1970.0,1970.0,F,06-08,220.0
Milt Schoon,1947.0,1950.0,C,06-07,230.0
Detlef Schrempf,1986.0,2001.0,F-C,06-09,214.0
Dennis Schroder,2014.0,2018.0,G,06-01,172.0
Howie Schultz,1950.0,1953.0,C-F,06-06,200.0
Dick Schulz,1947.0,1950.0,F-G,06-02,192.0
Roger Schurig,1968.0,1968.0,G,06-03,185.0
John Schweitz,1985.0,1987.0,G,06-06,210.0
Luis Scola,2008.0,2017.0,F,06-09,240.0
Fred Scolari,1947.0,1955.0,G,05-10,180.0
Alvin Scott,1978.0,1985.0,F-G,06-07,185.0
Brent Scott,1997.0,1997.0,F-C,06-10,250.0
Byron Scott,1984.0,1997.0,G,06-03,195.0
Charlie Scott,1971.0,1980.0,G-F,06-05,175.0
Dennis Scott,1991.0,2000.0,F,06-08,229.0
James Scott,1997.0,1997.0,F,06-06,180.0
Mike Scott,2013.0,2018.0,F,06-08,237.0
Ray Scott,1962.0,1972.0,F-C,06-09,215.0
Shawnelle Scott,1997.0,2002.0,C,06-10,250.0
Willie Scott,1970.0,1970.0,F,06-05,210.0
Paul Scranton,1968.0,1968.0,F,06-05,230.0
Carey Scurry,1986.0,1988.0,F,06-07,188.0
Bruce Seals,1974.0,1978.0,F,06-08,210.0
Shea Seals,1998.0,1998.0,G,06-05,210.0
Malik Sealy,1993.0,2000.0,G,06-08,190.0
Ed Searcy,1976.0,1976.0,F,06-06,210.0
Kenny Sears,1956.0,1964.0,F,06-09,198.0
Wayne See,1950.0,1950.0,G,06-03,190.0
Thabo Sefolosha,2007.0,2018.0,G-F,06-07,220.0
Rony Seikaly,1989.0,1999.0,C,06-11,230.0
Glen Selbo,1950.0,1950.0,G-F,06-03,196.0
Josh Selby,2012.0,2013.0,G,06-02,183.0
Wayne Selden,2017.0,2018.0,G-F,06-05,230.0
Brad Sellers,1987.0,1993.0,C-F,7-0,210.0
Phil Sellers,1977.0,1977.0,F-G,06-04,195.0
Rollie Seltz,1950.0,1950.0,G-F,05-10,165.0
Lester Selvage,1968.0,1970.0,G,06-01,175.0
Frank Selvy,1955.0,1964.0,G-F,06-03,180.0
Jim Seminoff,1947.0,1950.0,G-F,06-02,190.0
Mouhamed Sene,2007.0,2009.0,C-F,06-11,230.0
George Senesky,1947.0,1954.0,G,06-02,179.0
Kevin Seraphin,2011.0,2017.0,F,06-09,285.0
Ansu Sesay,2002.0,2005.0,F,06-09,225.0
Ramon Sessions,2008.0,2018.0,G,06-03,190.0
Ha Seung-Jin,2005.0,2006.0,C,07-03,305.0
Tom Sewell,1985.0,1985.0,G,06-05,185.0
Paul Seymour,1948.0,1960.0,G-F,06-01,180.0
Nick Shaback,1947.0,1947.0,G,05-11,180.0
Lynn Shackelford,1970.0,1970.0,F,06-05,190.0
Charles Shackleford,1989.0,1999.0,F-C,06-10,225.0
Carl Shaeffer,1950.0,1951.0,F-G,06-03,185.0
Lee Shaffer,1962.0,1964.0,F,06-07,220.0
Mustafa Shakur,2011.0,2014.0,G,06-03,190.0
God Shammgod,1998.0,1998.0,G,6-0,169.0
Earl Shannon,1947.0,1949.0,G-F,05-11,170.0
Howie Shannon,1949.0,1950.0,G-F,06-02,175.0
Chuck Share,1952.0,1960.0,C,06-11,235.0
Bill Sharman,1951.0,1961.0,G,06-01,175.0
Walter Sharpe,2009.0,2009.0,F,06-09,245.0
John Shasky,1989.0,1991.0,C,06-11,235.0
Ron Shavlik,1957.0,1958.0,F,06-08,200.0
Brian Shaw,1989.0,2003.0,G,06-06,190.0
Casey Shaw,1999.0,1999.0,C,06-11,260.0
Bob Shea,1947.0,1947.0,F,06-02,194.0
Fred Sheffield,1947.0,1947.0,F,06-02,165.0
Craig Shelton,1981.0,1982.0,F,06-07,210.0
Lonnie Shelton,1977.0,1986.0,F-C,06-08,240.0
Tornike Shengelia,2013.0,2014.0,F,06-09,217.0
Billy Shepherd,1973.0,1975.0,G,05-10,160.0
Jeffrey Sheppard,1999.0,1999.0,G,06-03,190.0
Steve Sheppard,1978.0,1979.0,F,06-06,215.0
Ed Sherod,1983.0,1983.0,G,06-02,170.0
Charley Shipp,1950.0,1950.0,G-F,06-01,200.0
Paul Shirley,2003.0,2005.0,F-C,06-10,230.0
Gene Short,1976.0,1976.0,F,06-06,200.0
Purvis Short,1979.0,1990.0,F-G,06-07,210.0
Dexter Shouse,1990.0,1990.0,G,06-02,200.0
Dick Shrider,1949.0,1949.0,G,06-02,190.0
Gene Shue,1955.0,1964.0,G,06-02,170.0
John Shumate,1976.0,1981.0,F-C,06-09,235.0
Iman Shumpert,2012.0,2018.0,G,06-05,220.0
Alexey Shved,2013.0,2015.0,G,06-06,190.0
Pascal Siakam,2017.0,2018.0,F,06-09,230.0
Sam Sibert,1973.0,1973.0,F,06-07,215.0
Mark Sibley,1974.0,1974.0,G,06-02,175.0
Jerry Sichting,1981.0,1990.0,G,06-01,168.0
Donald Sidle,1969.0,1972.0,F-C,06-08,215.0
Larry Siegfried,1964.0,1972.0,F,06-03,190.0
Ralph Siewert,1947.0,1947.0,C,07-01,230.0
Jack Sikma,1978.0,1991.0,C-F,06-11,230.0
James Silas,1973.0,1982.0,G,06-01,180.0
Paul Silas,1965.0,1980.0,F-C,06-07,220.0
Xavier Silas,2012.0,2012.0,G,06-05,205.0
Garret Siler,2011.0,2011.0,C,06-11,305.0
Mike Silliman,1971.0,1971.0,F,06-06,225.0
Wayne Simien,2006.0,2007.0,F,06-09,255.0
Ben Simmons,2018.0,2018.0,G-F,06-10,230.0
Bobby Simmons,2002.0,2012.0,G-F,06-07,210.0
Cedric Simmons,2007.0,2009.0,F,06-09,235.0
Connie Simmons,1947.0,1956.0,C-F,06-08,222.0
Grant Simmons,1968.0,1969.0,G,06-03,190.0
Johnny Simmons,1947.0,1947.0,G,06-01,184.0
Jonathon Simmons,2016.0,2018.0,G-F,06-06,195.0
Kobi Simmons,2018.0,2018.0,G,06-05,166.0
Lionel Simmons,1991.0,1997.0,F,06-07,210.0
Miles Simon,1999.0,1999.0,G,06-03,202.0
Walter Simon,1968.0,1974.0,F-G,06-06,200.0
Dickey Simpkins,1995.0,2002.0,F,06-09,248.0
Ralph Simpson,1971.0,1980.0,G-F,06-05,200.0
Alvin Sims,1999.0,1999.0,G,06-04,235.0
Bob Sims,1962.0,1968.0,G-F,06-05,220.0
Courtney Sims,2008.0,2009.0,C,06-10,245.0
Doug Sims,1969.0,1969.0,F,06-07,195.0
Henry Sims,2013.0,2016.0,C,06-10,248.0
Scott Sims,1978.0,1978.0,G,06-01,170.0
Kyle Singler,2013.0,2018.0,F,06-08,228.0
Sean Singletary,2009.0,2009.0,G,6-0,185.0
Chris Singleton,2012.0,2014.0,F,06-08,230.0
James Singleton,2006.0,2012.0,F,06-08,216.0
McKinley Singleton,1987.0,1987.0,G,06-05,175.0
Zeke Sinicola,1952.0,1954.0,G,05-10,165.0
Charlie Sitton,1985.0,1985.0,F,06-08,210.0
Peyton Siva,2014.0,2014.0,G,6-0,185.0
Scott Skiles,1987.0,1996.0,G,06-01,180.0
Al Skinner,1975.0,1980.0,G,06-03,190.0
Brian Skinner,1999.0,2012.0,F,06-09,255.0
Tal Skinner,1975.0,1976.0,F-G,06-05,195.0
Whitey Skoog,1952.0,1957.0,G,05-11,180.0
Jeff Slade,1963.0,1963.0,F,06-06,220.0
Reggie Slater,1995.0,2003.0,F,06-07,215.0
Jim Slaughter,1952.0,1952.0,C,06-11,210.0
Jose Slaughter,1983.0,1983.0,G,06-05,205.0
Tamar Slay,2003.0,2005.0,G,06-08,215.0
Donald Sloan,2012.0,2016.0,G,06-03,205.0
Jerry Sloan,1966.0,1976.0,G-F,06-05,195.0
Uros Slokar,2007.0,2007.0,F,06-10,238.0
Tom Sluby,1985.0,1985.0,G,06-04,200.0
Keith Smart,1989.0,1989.0,G,06-01,175.0
Marcus Smart,2015.0,2018.0,G,06-04,220.0
Belus Smawley,1947.0,1952.0,G-F,06-01,195.0
Jack Smiley,1949.0,1950.0,F-G,06-03,190.0
Adrian Smith,1962.0,1972.0,G,06-01,180.0
Al Smith,1972.0,1976.0,G,06-01,185.0
Bill Smith,1962.0,1962.0,G-F,06-05,190.0
Bingo Smith,1970.0,1980.0,F-G,06-05,195.0
Bobby Smith,1960.0,1962.0,G,06-04,190.0
Charles Smith,1989.0,1997.0,F-C,06-10,230.0
Chris Smith,1993.0,1995.0,G,06-03,190.0
Clinton Smith,1987.0,1991.0,F,06-06,210.0
Craig Smith,2007.0,2012.0,F,06-07,250.0
Deb Smith,1947.0,1947.0,F,06-03,180.0
Dennis Smith,2018.0,2018.0,G,06-03,195.0
Derek Smith,1983.0,1991.0,G-F,06-06,205.0
Don Smith,1949.0,1949.0,G-F,06-02,190.0
Donta Smith,2005.0,2006.0,G-F,06-07,215.0
Doug Smith,1992.0,1996.0,F,06-10,220.0
Ed Smith,1954.0,1954.0,F,06-06,180.0
Elmore Smith,1972.0,1979.0,C,7-0,250.0
Garfield Smith,1971.0,1973.0,C-F,06-09,235.0
Greg Smith,1969.0,1976.0,F,06-05,195.0
Ish Smith,2011.0,2018.0,G,6-0,175.0
J.R. Smith,2005.0,2018.0,G-F,06-06,225.0
Jabari Smith,2001.0,2005.0,C,06-11,250.0
Jason Smith,2008.0,2018.0,F-C,7-0,245.0
Jerry Smith,2012.0,2012.0,G,06-02,190.0
Jim Smith,1982.0,1983.0,F,06-09,225.0
Joe Smith,1996.0,2011.0,F,06-10,225.0
John Smith,1969.0,1970.0,C,7-0,235.0
Josh Smith,2005.0,2018.0,F,06-09,225.0
Keith Smith,1987.0,1987.0,G,06-03,180.0
Ken Smith,1976.0,1976.0,F,06-07,185.0
Kenny Smith,1988.0,1997.0,G,06-03,170.0
LaBradford Smith,1992.0,1994.0,G,06-03,200.0
Larry Smith,1981.0,1993.0,F-C,06-08,215.0
Leon Smith,2002.0,2004.0,C,06-10,235.0
Michael Smith,1990.0,1995.0,F,06-10,225.0
Mike Smith,2001.0,2001.0,F,06-08,195.0
Nolan Smith,2012.0,2013.0,G,06-02,185.0
Otis Smith,1987.0,1992.0,G-F,06-05,210.0
Pete Smith,1973.0,1973.0,F,06-06,205.0
Phil Smith,1975.0,1983.0,G,06-04,185.0
Randy Smith,1972.0,1983.0,G-F,06-03,180.0
Reggie Smith,1993.0,1994.0,C,06-10,240.0
Robert Smith,1978.0,1985.0,G,05-11,165.0
Russ Smith,2015.0,2016.0,G,6-0,165.0
Sam Smith,1968.0,1971.0,F,06-07,230.0
Steve Smith,1992.0,2005.0,G,06-07,200.0
Steven Smith,2007.0,2007.0,F,06-08,235.0
Stevin Smith,1997.0,1997.0,G,06-02,208.0
Theron Smith,2004.0,2005.0,F,06-08,225.0
Tony Smith,1991.0,2001.0,G,06-03,185.0
William Smith,1972.0,1973.0,C,7-0,220.0
Willie Smith,1977.0,1980.0,G,06-02,170.0
Rik Smits,1989.0,2000.0,C,07-04,250.0
Mike Smrek,1986.0,1992.0,C,7-0,250.0
Joe Smyth,1954.0,1954.0,F,06-03,215.0
Tony Snell,2014.0,2018.0,G-F,06-07,200.0
Eric Snow,1996.0,2008.0,G,06-03,190.0
Dick Snyder,1967.0,1979.0,G-F,06-05,207.0
Kirk Snyder,2005.0,2008.0,G,06-06,225.0
Chips Sobek,1950.0,1950.0,G-F,6-0,180.0
Ricky Sobers,1976.0,1986.0,G,06-03,198.0
Ron Sobie,1957.0,1960.0,G,06-03,185.0
Mike Sojourner,1975.0,1977.0,C-F,06-09,225.0
Willie Sojourner,1972.0,1975.0,C-F,06-08,225.0
Will Solomon,2002.0,2009.0,G,06-01,185.0
Willie Somerset,1966.0,1969.0,G,05-08,170.0
Darius Songaila,2004.0,2011.0,F,06-09,248.0
Dave Sorenson,1971.0,1973.0,F,06-08,225.0
James Southerland,2014.0,2014.0,F,06-08,215.0
Gino Sovran,1947.0,1947.0,F-G,06-02,175.0
Pape Sow,2005.0,2007.0,F,06-10,250.0
Ken Spain,1971.0,1971.0,C,06-09,225.0
Jim Spanarkel,1980.0,1984.0,G-F,06-05,190.0
Vassilis Spanoulis,2007.0,2007.0,G,06-04,195.0
Daniel Sparks,1969.0,1970.0,F,06-08,200.0
Guy Sparrow,1958.0,1960.0,F,06-06,218.0
Rory Sparrow,1981.0,1992.0,G,06-02,175.0
Odie Spears,1949.0,1957.0,G,06-05,205.0
Art Spector,1947.0,1950.0,F,06-04,200.0
Marreese Speights,2009.0,2018.0,C-F,06-10,255.0
Andre Spencer,1993.0,1994.0,F,06-06,210.0
Elmore Spencer,1993.0,1997.0,C,7-0,270.0
Felton Spencer,1991.0,2002.0,C,7-0,265.0
Lou Spicer,1947.0,1947.0,F,06-02,195.0
Craig Spitzer,1968.0,1968.0,C,7-0,225.0
Tiago Splitter,2011.0,2017.0,F-C,06-11,245.0
Art Spoelstra,1955.0,1958.0,C,06-09,220.0
Bruce Spraggins,1968.0,1968.0,F,06-05,188.0
Latrell Sprewell,1993.0,2005.0,G,06-05,190.0
Larry Spriggs,1982.0,1986.0,F,06-07,230.0
Jim Springer,1949.0,1949.0,C,06-09,235.0
Jim Spruill,1949.0,1949.0,G,06-02,225.0
Ryan Stack,1999.0,2000.0,F,06-11,215.0
Jerry Stackhouse,1996.0,2013.0,G-F,06-06,218.0
Kevin Stacom,1975.0,1982.0,G,06-03,185.0
Erv Staggs,1970.0,1970.0,F-G,06-06,195.0
Bud Stallworth,1973.0,1977.0,F-G,06-05,190.0
Dave Stallworth,1966.0,1975.0,F-C,06-07,200.0
Ed Stanczak,1950.0,1951.0,F,06-01,185.0
Terence Stansbury,1985.0,1987.0,G,06-05,170.0
John Starks,1989.0,2002.0,G,06-03,180.0
Keith Starr,1977.0,1977.0,G-F,06-06,190.0
Nik Stauskas,2015.0,2018.0,G,06-06,205.0
Larry Staverman,1959.0,1964.0,F,06-07,205.0
Larry Steele,1972.0,1980.0,G-F,06-05,180.0
Matt Steigenga,1997.0,1997.0,F,06-07,225.0
Vladimir Stepania,1999.0,2004.0,C,7-0,236.0
D.J. Stephens,2014.0,2014.0,G-F,06-05,188.0
Everette Stephens,1989.0,1991.0,G,06-02,175.0
Jack Stephens,1956.0,1956.0,G-F,06-03,185.0
Joe Stephens,1997.0,2000.0,F,06-07,210.0
Lance Stephenson,2011.0,2018.0,G-F,06-05,230.0
Alex Stepheson,2016.0,2016.0,F,06-10,270.0
Brook Steppe,1983.0,1989.0,G-F,06-05,195.0
Barry Stevens,1993.0,1993.0,G-F,06-05,195.0
Wayne Stevens,1960.0,1960.0,F,06-03,185.0
DeShawn Stevenson,2001.0,2013.0,G,06-05,210.0
Dennis Stewart,1971.0,1971.0,F,06-06,220.0
Kebu Stewart,1998.0,1998.0,F,06-08,239.0
Larry Stewart,1992.0,1997.0,F,06-08,220.0
Michael Stewart,1998.0,2005.0,C,06-10,230.0
Norm Stewart,1957.0,1957.0,F,06-05,205.0
Greg Stiemsma,2012.0,2015.0,C,06-11,260.0
Steve Stipanovich,1984.0,1988.0,C,06-11,245.0
Bryant Stith,1993.0,2002.0,G,06-05,208.0
Sam Stith,1962.0,1962.0,G,06-02,185.0
Tom Stith,1963.0,1963.0,F,06-05,210.0
Alex Stivrins,1986.0,1993.0,F,06-08,220.0
David Stockton,2015.0,2015.0,G,05-11,165.0
John Stockton,1985.0,2003.0,G,06-01,170.0
Peja Stojakovic,1999.0,2011.0,F-G,06-09,220.0
Ed Stokes,1998.0,1998.0,C,7-0,264.0
Greg Stokes,1986.0,1990.0,F-C,06-10,220.0
Jarnell Stokes,2015.0,2017.0,F-C,06-09,263.0
Maurice Stokes,1956.0,1958.0,F-C,06-07,232.0
Art Stolkey,1947.0,1947.0,G,06-01,180.0
Randy Stoll,1968.0,1968.0,C,06-07,235.0
Diamond Stone,2017.0,2017.0,C,06-11,255.0
George Stone,1969.0,1972.0,F,06-07,195.0
Julyan Stone,2012.0,2018.0,G,06-06,200.0
Awvee Storey,2005.0,2008.0,G-F,06-06,222.0
Damon Stoudamire,1996.0,2008.0,G,05-10,171.0
Salim Stoudamire,2006.0,2008.0,G,06-01,179.0
Amar'e Stoudemire,2003.0,2016.0,F-C,06-10,245.0
Paul Stovall,1973.0,1974.0,F,06-04,215.0
D.J. Strawberry,2008.0,2008.0,G,06-05,201.0
Joe Strawder,1966.0,1968.0,C,06-10,235.0
Bill Stricker,1971.0,1971.0,F,06-09,210.0
Erick Strickland,1997.0,2005.0,G,06-03,210.0
Mark Strickland,1995.0,2003.0,F,06-09,210.0
Rod Strickland,1989.0,2005.0,G,06-03,175.0
Roger Strickland,1964.0,1964.0,F,06-05,200.0
John Stroeder,1988.0,1989.0,F,06-10,260.0
Derek Strong,1992.0,2001.0,F,06-08,220.0
Lamont Strothers,1992.0,1993.0,G,06-04,190.0
John Stroud,1981.0,1981.0,F,06-07,215.0
Red Stroud,1968.0,1968.0,G,6-0,160.0
Rodney Stuckey,2008.0,2017.0,G,06-05,210.0
Gene Stump,1948.0,1950.0,F-G,06-02,185.0
Stan Stutz,1947.0,1949.0,G-F,05-10,170.0
Gary Suiter,1971.0,1971.0,C-F,06-09,225.0
Jared Sullinger,2013.0,2017.0,F,06-09,260.0
DaJuan Summers,2010.0,2013.0,F,06-08,230.0
Barry Sumpter,1989.0,1989.0,F-C,06-11,215.0
Don Sunderlage,1954.0,1955.0,G,06-01,180.0
Bruno Sundov,1999.0,2005.0,C,07-02,220.0
Jon Sundvold,1984.0,1992.0,G,06-02,170.0
Bob Sura,1996.0,2005.0,G,06-05,200.0
Dick Surhoff,1953.0,1954.0,F,06-04,210.0
George Sutor,1968.0,1970.0,C,06-08,235.0
Dane Suttle,1984.0,1985.0,G,06-03,190.0
Greg Sutton,1992.0,1996.0,G,06-02,170.0
